,ID,DataRow ID,Labeled Data,Label,Created By,Project Name,Created At,Updated At,Seconds to Label,External ID,Agreement,Benchmark Agreement,Benchmark ID,Benchmark Reference ID,Dataset Name,Reviews,View Label
0,cjxc40xypk1jp0884tponeukd,cjxc40cihro1k0dsq1vw864l9,https://storage.googleapis.com/labelbox-193903.appspot.com/cjx40efj8yst708440l518902%2F2d59db2c-f5de-945a-901f-df08098dd623-0001-1.3.12.2.1107.5.2.19.45479.2014062507491522637538355.png,"{""roi"":""no""}",datalabeling1@gmail.com,Fetal_IQA,1561485292000,1561485292000,20.186,0001-1.3.12.2.1107.5.2.19.45479.2014062507491522637538355.png,,,,,3-1,[],https://image-segmentation-v4.labelbox.com?project=cjxc2gado8xov0a26b8x38daq&label=cjxc40xypk1jp0884tponeukd
1,cjxc41ih09xuv0a26joa2zlmq,cjxc40ciiro1w0dsq4cg14uq2,https://storage.googleapis.com/labelbox-193903.appspot.com/cjx40efj8yst708440l518902%2F7ff4c7f9-bca9-834a-5ba1-0c59a7bdce5a-0006-1.3.12.2.1107.5.2.19.45479.201406250749362079238421.png,"{""image_quality"":""good""}",datalabeling1@gmail.com,Fetal_IQA,1561485318000,1561485318000,26.278,0006-1.3.12.2.1107.5.2.19.45479.201406250749362079238421.png,,,,,3-1,[],https://image-segmentation-v4.labelbox.com?project=cjxc2gado8xov0a26b8x38daq&label=cjxc41ih09xuv0a26joa2zlmq
2,cjxc42pxlbpam0836s5j6fzm9,cjxc40ciiro280dsq4ceqdmvu,https://storage.googleapis.com/labelbox-193903.appspot.com/cjx40efj8yst708440l518902%2Fd62bc682-1733-6493-95cb-4102068044a4-0013-1.3.12.2.1107.5.2.19.45479.201406250749202532938371.png,"{""image_quality"":""good""}",datalabeling1@gmail.com,Fetal_IQA,1561485374000,1561485374000,56.067,0013-1.3.12.2.1107.5.2.19.45479.201406250749202532938371.png,,,,,3-1,[],https://image-segmentation-v4.labelbox.com?project=cjxc2gado8xov0a26b8x38daq&label=cjxc42pxlbpam0836s5j6fzm9
3,cjxc43xt4k3ce0884vp7sg3w0,cjxc40ciiro2k0dsqhnm08ul3,https://storage.googleapis.com/labelbox-193903.appspot.com/cjx40efj8yst708440l518902%2F3d0b0a85-27f2-3f16-18d7-ae41f8541e7b-0018-1.3.12.2.1107.5.2.19.45479.2014062507494081844338436.png,"{""image_quality"":""bad""}",datalabeling1@gmail.com,Fetal_IQA,1561485431000,1561485431000,56.571,0018-1.3.12.2.1107.5.2.19.45479.2014062507494081844338436.png,,,,,3-1,[],https://image-segmentation-v4.labelbox.com?project=cjxc2gado8xov0a26b8x38daq&label=cjxc43xt4k3ce0884vp7sg3w0
4,cjxc44s3i9zu60a26ad48rdyn,cjxc40ciiro2w0dsq0o9w79yp,https://storage.googleapis.com/labelbox-193903.appspot.com/cjx40efj8yst708440l518902%2Fb284b409-60b1-681d-d8a8-0d7b5762f902-0029-1.3.12.2.1107.5.2.19.45479.2014062507492642300738391.png,"{""image_quality"":""bad""}",datalabeling1@gmail.com,Fetal_IQA,1561485471000,1561485471000,39.0,0029-1.3.12.2.1107.5.2.19.45479.2014062507492642300738391.png,,,,,3-1,[],https://image-segmentation-v4.labelbox.com?project=cjxc2gado8xov0a26b8x38daq&label=cjxc44s3i9zu60a26ad48rdyn
5,cjxc471wcbkwj0890dcuyu4ns,cjxc40ciiro380dsqabe921rb,https://storage.googleapis.com/labelbox-193903.appspot.com/cjx40efj8yst708440l518902%2F43d2ae16-5922-9625-29fb-0b14f15cd3b0-0041-1.3.12.2.1107.5.2.19.45479.2014062507493122365338406.png,"{""image_quality"":""bad""}",datalabeling1@gmail.com,Fetal_IQA,1561485577000,1561485577000,105.41,0041-1.3.12.2.1107.5.2.19.45479.2014062507493122365338406.png,,,,,3-1,[],https://image-segmentation-v4.labelbox.com?project=cjxc2gado8xov0a26b8x38daq&label=cjxc471wcbkwj0890dcuyu4ns
6,cjxc47dhab4ck08003t613yml,cjxc40cihro1o0dsq0agl7571,https://storage.googleapis.com/labelbox-193903.appspot.com/cjx40efj8yst708440l518902%2F4e25d5ab-8328-d6fa-1cac-70db9d4bed2a-0002-1.3.12.2.1107.5.2.19.45479.2014062507493441590838416.png,"{""roi"":""no""}",datalabeling1@gmail.com,Fetal_IQA,1561485592000,1561485592000,14.677,0002-1.3.12.2.1107.5.2.19.45479.2014062507493441590838416.png,,,,,3-1,[],https://image-segmentation-v4.labelbox.com?project=cjxc2gado8xov0a26b8x38daq&label=cjxc47dhab4ck08003t613yml
7,cjxc47g6lm39p0891kzla6ctp,cjxc40ciiro200dsq8a7n3e9q,https://storage.googleapis.com/labelbox-193903.appspot.com/cjx40efj8yst708440l518902%2Fc12f0298-b50d-5733-d4a8-a97817854b29-0009-1.3.12.2.1107.5.2.19.45479.2014062507491842084338366.png,"{""image_quality"":""bad""}",datalabeling1@gmail.com,Fetal_IQA,1561485595000,1561485595000,3.281,0009-1.3.12.2.1107.5.2.19.45479.2014062507491842084338366.png,,,,,3-1,[],https://image-segmentation-v4.labelbox.com?project=cjxc2gado8xov0a26b8x38daq&label=cjxc47g6lm39p0891kzla6ctp
8,cjxc47wd9blbh0890lpcvnbuw,cjxc40ciiro2c0dsqezmf5khy,https://storage.googleapis.com/labelbox-193903.appspot.com/cjx40efj8yst708440l518902%2F3a4f4145-0699-2f02-1d64-21dbb0a4f107-0014-1.3.12.2.1107.5.2.19.45479.2014062507493921875038431.png,"{""image_quality"":""bad""}",datalabeling1@gmail.com,Fetal_IQA,1561485616000,1561485616000,20.731,0014-1.3.12.2.1107.5.2.19.45479.2014062507493921875038431.png,,,,,3-1,[],https://image-segmentation-v4.labelbox.com?project=cjxc2gado8xov0a26b8x38daq&label=cjxc47wd9blbh0890lpcvnbuw
9,cjxc48c6j9ojl0811g9vu4voj,cjxc40ciiro2o0dsqhvnn52mk,https://storage.googleapis.com/labelbox-193903.appspot.com/cjx40efj8yst708440l518902%2Fda50e742-3c85-a2a0-ed15-1228c0cb32ef-0021-1.3.12.2.1107.5.2.19.45479.2014062507492322373038381.png,"{""image_quality"":""bad""}",datalabeling1@gmail.com,Fetal_IQA,1561485637000,1561485637000,20.252,0021-1.3.12.2.1107.5.2.19.45479.2014062507492322373038381.png,,,,,3-1,[],https://image-segmentation-v4.labelbox.com?project=cjxc2gado8xov0a26b8x38daq&label=cjxc48c6j9ojl0811g9vu4voj
